dia,casos_reales,observaciones,estimacion_kalman,incertidumbre
57,33201.64494571478,28893.645361093848,30411.28337660678,0.2404430327869814
58,33225.6544553976,30484.606478843692,30051.340030404976,0.2404430327869814
59,33245.29847298447,32568.13349446719,31193.027394967263,0.2404430327869814
60,33261.36678189309,34506.782427112186,33077.901029271816,0.2404430327869814
61,33274.50760051723,35541.017522028145,34764.48150426945,0.2404430327869814
62,33285.25251738611,31298.840913988533,33182.97511515943,0.2404430327869814
63,33294.03718177488,34572.985477918824,34021.66708923446,0.2404430327869814
64,33301.21842214795,31894.391209988076,32940.15367000351,0.2404430327869814
65,33307.08837583888,31410.85284788599,31989.552198350026,0.2404430327869814
66,33311.88612962466,30926.38008207507,31189.571013410015,0.2404430327869814
67,33315.807294931205,28565.006186070746,29432.846042812318,0.2404430327869814
68,33319.011874305404,35151.11645924122,32321.10200959752,0.2404430327869814
69,33321.63071754262,36314.860749528016,34793.63969980329,0.2404430327869814
70,33323.77081596525,31700.408449229693,33481.437707314064,0.2404430327869814
71,33325.51964103413,26084.27960873044,29315.19816893313,0.2404430327869814
72,33326.94869786271,35164.903861262734,32143.73354304015,0.2404430327869814
73,33328.11643441049,31788.067584854663,32005.300173906126,0.2404430327869814
74,33329.07062232208,32664.683481899836,32409.077225098816,0.2404430327869814
75,33329.850304794694,26186.91692632494,28886.93792773207,0.2404430327869814
76,33330.48738982961,36126.289578613956,32592.71152353786,0.2404430327869814
77,33331.00795317092,32327.60390232556,32685.722811333206,0.2404430327869814
78,33331.4333036602,34725.09864920123,34037.46584116043,0.2404430327869814
79,33331.7808542152,28903.182832421302,31383.148508724415,0.2404430327869814
80,33332.064833821256,31687.34023636079,31363.595724151313,0.2404430327869814
81,33332.29686950565,33064.568143151206,32218.057230814884,0.2404430327869814
82,33332.48646200392,33758.126812897324,33153.36541378635,0.2404430327869814
83,33332.64137451439,33618.80584724078,33591.61486668518,0.2404430327869814
84,33332.767950406094,30382.848324347393,31911.28537214358,0.2404430327869814
85,33332.87137285417,37124.274667883554,34785.87963385125,0.2404430327869814
86,33332.955877010725,36785.819593845554,36283.213324754564,0.2404430327869814
87,33333.02492338397,26587.927451521737,31122.43627775799,0.2404430327869814
88,33333.081339514836,29440.42442259664,29662.995576918103,0.2404430327869814
89,33333.127435746,34365.645586613566,31848.994966741324,0.2404430327869814
90,33333.16509981963,30916.067117828323,31293.81378005804,0.2404430327869814
91,33333.19587417451,36379.29982429122,34140.461996845064,0.2404430327869814
92,33333.2210191061,35022.15768200575,35016.62543853616,0.2404430327869814
93,33333.241564374686,33236.37183879108,34354.976375121514,0.2404430327869814
94,33333.25835137416,36296.22668155511,35615.078964751374,0.2404430327869814
95,33333.27206758775,37093.7032415773,36747.62865736472,0.2404430327869814
96,33333.28327474144,30292.572061659823,33364.57319230921,0.2404430327869814
97,33333.29243180768,33106.911268672135,32933.43435183929,0.2404430327869814
98,33333.299913801304,31228.48480750048,31701.208570022347,0.2404430327869814
99,33333.30602713738,34899.22573465991,33206.43253056148,0.2404430327869814
100,33333.31102217975,37428.17373217212,35651.19198670826,0.2404430327869814
101,33333.31510349417,32517.984777904116,34208.829349618616,0.2404430327869814
102,33333.318438225964,37146.9927148967,35929.208004339365,0.2404430327869814
103,33333.321162945125,28013.795022179234,31624.951641906337,0.2404430327869814
104,33333.323389239406,31724.689626057167,31212.76876370771,0.2404430327869814
105,33333.32520828414,30151.877360507413,30234.738973159107,0.2404430327869814
106,33333.32669457627,29031.67582646645,29157.496273542678,0.2404430327869814
107,33333.327908985266,30225.986414153722,29367.66041079635,0.2404430327869814
108,33333.3289012459,34152.840479984654,31902.844953475887,0.2404430327869814
109,33333.32971199512,28876.34686759292,30384.01362540121,0.2404430327869814
110,33333.33037443629,37460.788688280445,34396.50528385548,0.2404430327869814
111,33333.330915698985,31392.826909622727,33210.58811703639,0.2404430327869814
112,33333.331357950025,36362.66854887952,35210.1314303559,0.2404430327869814
113,33333.33171930133,37504.31398146862,36950.424990624415,0.2404430327869814
114,33333.33201455166,35581.490826070425,36686.7323907486,0.2404430327869814
115,33333.33225579269,30567.696385485826,33449.85923903456,0.2404430327869814
116,33333.332452904164,29778.68659897233,31036.183578496468,0.2404430327869814
117,33333.33261395859,27694.473039861976,28554.69563455148,0.2404430327869814
118,33333.332745551794,31650.069959594337,29617.984529274145,0.2404430327869814
119,33333.33285307301,40221.972091303986,35439.59727765822,0.2404430327869814
120,33333.332940925684,34695.84176807439,35683.032480250244,0.2404430327869814
